family,fidelity_vs_dense,gate_count,logical_depth,mps_abs_cutoff_config,mps_max_bond_config,mps_svd_algo,mps_tensor_bytes,mps_tensor_count,mps_tensor_elements,observed_max_bond,precision,runtime_semantics,sample_first_s,sample_first_shots_observed,sample_warm_median_s,sample_warm_repeats,shots,simulator,state_first_s,state_warm_median_s,state_warm_repeats,statevector_bytes,status,target_name,two_qubit_gates,width
ghz,1.0000000000000004,16,16,1e-12,2,gesvdj,1920,16,120,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.03849579300003825,32,0.02679272800014587,"[0.02679272800014587, 0.022096927001257427]",32,tensornet_mps,0.18956605399944237,0.008874942002876196,"[0.008719319001102122, 0.008874942002876196]",1048576,ok,cudaq_tensornet_mps,15,16
ghz,,20,20,1e-12,2,gesvdj,2432,20,152,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.036015558001963655,32,0.02969551099886303,"[0.02959226999882958, 0.02969551099886303]",32,tensornet_mps,0.009171923997200793,0.00834457100063446,"[0.008274224001070252, 0.00834457100063446]",16777216,ok,cudaq_tensornet_mps,19,20
ghz,,24,24,1e-12,2,gesvdj,2944,24,184,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.29069027099831146,32,0.2934849990015209,"[0.2934849990015209, 0.2934276809974108]",32,tensornet_mps,0.011737418000848265,0.010319529999833321,"[0.010319529999833321, 0.00990666000143392]",268435456,ok,cudaq_tensornet_mps,23,24
hea,0.6493741065593754,189,54,1e-12,2,gesvdj,1920,16,120,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.14243365899892524,32,0.14145269099753932,"[0.14145269099753932, 0.1399629810002807]",32,tensornet_mps,0.16039964599985979,0.12469032999797491,"[0.12469032999797491, 0.12451777400201536]",1048576,ok,cudaq_tensornet_mps,45,16
hea,,237,66,1e-12,2,gesvdj,2432,20,152,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.18418988800112857,32,0.18184818400186487,"[0.18184818400186487, 0.18108376400050474]",32,tensornet_mps,0.15759863700077403,0.1596877170013613,"[0.1596877170013613, 0.15863802600142662]",16777216,ok,cudaq_tensornet_mps,57,20
hea,,285,78,1e-12,2,gesvdj,2944,24,184,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.4723756049970689,32,0.4762198310017993,"[0.4762198310017993, 0.469995639003173]",32,tensornet_mps,0.1910134880017722,0.19202093499916373,"[0.19202093499916373, 0.19101566300014383]",268435456,ok,cudaq_tensornet_mps,69,24
qaoa_cycle,0.8804415826728719,64,49,1e-12,2,gesvdj,1728,16,108,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.17211844900157303,32,0.17064954500165186,"[0.17064954500165186, 0.16998553599842126]",32,tensornet_mps,0.18688623100024415,0.15615826399880461,"[0.15615826399880461, 0.15521545699812123]",1048576,ok,cudaq_tensornet_mps,32,16
qaoa_cycle,,80,61,1e-12,2,gesvdj,2240,20,140,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.23431018599876552,32,0.22807875600119587,"[0.22807875600119587, 0.2271698370022932]",32,tensornet_mps,0.1992923370016797,0.20087757899818826,"[0.20087757899818826, 0.19942201600133558]",16777216,ok,cudaq_tensornet_mps,40,20
qaoa_cycle,,96,73,1e-12,2,gesvdj,2752,24,172,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.5615930540006957,32,0.51225435899687,"[0.51225435899687, 0.5119867620014702]",32,tensornet_mps,0.23604700899886666,0.23531183099839836,"[0.23531183099839836, 0.23495913700025994]",268435456,ok,cudaq_tensornet_mps,48,24
random_brickwork,0.7669528095047047,60,8,1e-12,2,gesvdj,1920,16,120,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.06903589500143426,32,0.0684750479995273,"[0.0669523799988383, 0.0684750479995273]",32,tensornet_mps,0.09095858599903295,0.06606874899807735,"[0.06606874899807735, 0.05206551000082982]",1048576,ok,cudaq_tensornet_mps,28,16
random_brickwork,,76,8,1e-12,2,gesvdj,2432,20,152,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.08911255999919376,32,0.08841756300171255,"[0.08770997400279157, 0.08841756300171255]",32,tensornet_mps,0.06500741800118703,0.06493016300009913,"[0.06489563899958739, 0.06493016300009913]",16777216,ok,cudaq_tensornet_mps,36,20
random_brickwork,,92,8,1e-12,2,gesvdj,2944,24,184,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.3542253720006556,32,0.3498818529988057,"[0.3498818529988057, 0.3446118470019428]",32,tensornet_mps,0.07947219899870106,0.07912551800109213,"[0.07889674699981697, 0.07912551800109213]",268435456,ok,cudaq_tensornet_mps,44,24
